"codmun_resid","cod7","UF","Regiao","mun","Ano","obito_SRAG","obitos_COVID","Interna_COVID","Pop","FPM","RM","PIBpc","ICMSpc","Saudepc","FPMpc","Regra 1_e_2","Regra 2_e_3","Regra_3_e_4","Regra_4_e_5","Regra_5_e_6","Regra_6_e_7"
150285,1502855,"PA","Norte","Curuá",2020,6,6,1,14393,9765701.17,0,8996.41,270.32128743139,495.315147641214,678.503520461335,0,1,1,0,0,0
150290,1502905,"PA","Norte","Curuçá",2020,49,41,67,40066,17578261.92,0,7232.78,124.542858034244,480.014462137473,438.73263914541,0,0,0,0,0,1
150295,1502954,"PA","Norte","Eldorado do Carajás",2020,12,10,49,33808,15625121.73,0,12710.98,302.972415404638,455.260828797918,462.172318090393,0,0,0,0,1,1
150304,1503044,"PA","Norte","Floresta do Araguaia",2020,4,4,23,20304,11718841.41,0,13425.59,412.370489066194,574.706607072498,577.169100177305,0,0,1,1,0,0
150307,1503077,"PA","Norte","Garrafão do Norte",2020,8,6,13,26066,13671981.53,0,8452.59,195.626254507788,654.581432133814,524.513984884524,0,0,0,1,1,0
150309,1503093,"PA","Norte","Goianésia do Pará",2020,22,18,53,40475,17578261.92,0,8573.14,229.131766275479,572.928402223595,434.299244471896,0,0,0,0,0,1
150310,1503101,"PA","Norte","Gurupá",2020,7,5,1,33376,15625121.73,0,8415.96,207.757351390221,520.463030620805,468.15441424976,0,0,0,0,1,1
150320,1503200,"PA","Norte","Igarapé-Açu",2020,30,28,91,38807,17578261.92,0,8922,192.914547117788,657.823335996083,452.966266910609,0,0,0,0,0,1
150340,1503408,"PA","Norte","Inhangapi",2020,9,7,23,11711,7812560.93,0,10230.93,330.708924088464,836.342887029289,667.113050123815,1,1,0,0,0,0
150350,1503507,"PA","Norte","Irituia",2020,24,20,25,32550,15625121.73,0,6771.94,168.888670660522,414.882647619048,480.034461751152,0,0,0,0,1,1
150375,1503754,"PA","Norte","Jacareacanga",2020,30,29,21,8239,17578261.92,0,63713.36,5182.9919650443,2981.33013593883,2133.54313873043,1,0,0,0,0,0
150400,1504000,"PA","Norte","Limoeiro do Ajuru",2020,41,36,27,28935,13671981.53,0,14645.33,160.011963020563,605.297735614308,472.506705719717,0,0,0,1,1,0
150405,1504059,"PA","Norte","Mãe do Rio",2020,43,40,128,30077,13671981.53,0,9691,197.719288492868,637.741607540646,454.565998271104,0,0,0,1,1,0
